state_two_letter_code,jurisdiction_name,jurisdiction_type,string_date_MDY,year_of_vote,month_of_vote,did_vote_pass,share_votes_yes,share_votes_no,vote_share_needed_to_pass,vote_margin,total_funds_at_stake,total_funds_approved,total_funds_appr_r2020,conservation_funds_at_stake,conservation_funds_approved,conservation_funds_appr_r2020,finance_mechanism,purpose,description,other_comment,vote_funding_notes,needed_sixty_percent_to_pass,needed_two_thirds_to_pass,gdp_price_deflator
AK,Anchorage,Municipal,04-18-1995,1995,4,1,57.90684533,42.09315467,50,7.9068456,6110000,6110000,9650066,954000,954000,1506737,Bond,"Parks, recreation",Bond for parks and capital improvements,,,0,0,63.315628
AK,Anchorage,Municipal,04-16-1996,1996,4,0,40.13175525,59.86824475,50,-9.8682451,11950000,0,0,11950000,0,0,Bond,"Parks, recreation, trails","Ordinance 96-24S, Bond for Parks, Recreation, Trails",,,0,0,64.473976
AK,Anchorage,Municipal,04/02/02,2002,4,0,40.42911353,59.57088647,50,-9.5708866,1600000,0,0,1600000,0,0,Bond,Recreation,Proposition E; Bond measure for recreation areas,,,0,0,71.408875
AK,Anchorage,Municipal,04/01/03,2003,4,0,48.45419599,51.54580401,50,-1.545804,5000000,0,0,325000,0,0,Bond,"Recreation, parks","Prop 7: Anchorage Parks and Recreation Service Area Capital Improvement Bonds, Bond for park improvements, recreation, land acquisition",,,0,0,72.730873
AK,Anchorage,Municipal,04/06/04,2004,4,0,44.60615951,55.39384049,50,-5.3938403,4335000,0,0,4335000,0,0,Bond,"Trails, parks, greenways","Bond for park improvements, trail upgrades, and recreational facilities",,,0,0,74.688545
AK,Anchorage,Municipal,04/04/06,2006,4,0,48.73596314,51.26403686,50,-1.2640369,3950000,0,0,3950000,0,0,Bond,"Watershed protection, opens pace, parks, recreation ",Bond to protect water quality and to preserve and enhance open space and natural areas,,,0,0,79.349922
AK,Matanuska-Susitna Borough,County,10/07/03,2003,10,0,49.26337351,50.73662649,50,-0.73662651,5375000,0,0,490000,0,0,Bond,"Parks, recreation","Bond for park and recreation facility acquisition, improvement",,,0,0,72.730873
AL,Alabama,State,11/03/92,1992,11,1,83.64852011,16.35147989,50,33.648521,200000000,200000000,337202688,200000000,200000000,337202688,Other,"Open space, recreation,wildlife habitat,watershed protection","Alabama Forever Land Trust-for the acquisition, maintenance and protection of lands and water areas,  plant and animal life, geological formations, wild habitats, recreational value and scenic beauty",Interest from oil and gas royalties,,0,0,59.311508
AL,Alabama,State,11/06/12,2012,11,1,75.15810056,24.84189944,50,25.1581,300000000,300000000,340510272,300000000,300000000,340510272,Other,"Wildlife habitat, parks, recreation, open space, watershed protection","20-year, continuation of a 10 percent levy on offshore gas operations, which fund the Forever Wild program and the purchase of recreational lands",Royalties from offshore gas operations in Alabama waters,"Funds are capped at $15M annually, Statewide Amendment 1",0,0,88.103073
AR,Arkansas,State,11/05/96,1996,11,1,50.51636356,49.48363644,50,0.51636356,950000000,950000000,1473462656,237500000,237500000,368365664,Sales tax,"Open space, parks","Constitutional Amendment. 1/8 of one percent sales tax to fund capital improvements, maintenance projects and land acquisition",,,0,0,64.473976
AR,Fayetteville,Municipal,04/09/19,2019,4,1,68.53448276,31.46551724,50,18.534483,26405000,26405000,26677646,2405000,2405000,2429833,Bond,"Parks, recreation, trails, open space",Bond for parks and recreation,,"Washington County, Question 5",0,0,98.977997
AR,Hot Springs,Municipal,11/03/92,1992,11,0,41.46866314,58.53133686,50,-8.5313368,1200000,0,0,300000,0,0,Bond,Parks,Bonds for acquisition of land adjoining existing parks and construction of parking for persons,,Garland County,0,0,59.311508
AR,Hot Springs,Municipal,08-26-2003,2003,8,0,34.1961461,65.8038539,50,-15.803854,23300000,0,0,3300000,0,0,Sales tax,"Open space, parks","7-year, .375% sales tax for open space, park maintenance, improvements",,,0,0,72.730873
AR,Rogers,Municipal,05/06/03,2003,5,1,79.22743398,20.77256602,50,29.227434,9100000,9100000,12511881,2000000,2000000,2749863.8,Bond,"Parks, recreation","Park and Recreational Improvement Bonds, Bond for acquiring, improving parks and recreational facilities",,,0,0,72.730873
AZ,Arizona,State,11/06/90,1990,11,1,62.01416268,37.98583732,50,12.014163,400000000,400000000,713039040,400000000,400000000,713039040,Other,"Parks, open space, wildlife habitat, trails",Lottery revenues to parks and open space,Lottery,,0,0,56.097908
AZ,Arizona,State,11/03/98,1998,11,1,52.88831971,47.11168029,50,2.8883197,220000000,220000000,331704128,220000000,220000000,331704128,Other,Open space,"Proposition 303, State appropriations for open space",Appropriation,,0,0,66.324165
AZ,Cave Creek,Municipal,09/12/00,2000,9,1,77.74219376,22.25780624,50,27.742193,6825000,6825000,9922108,6825000,6825000,9922108,Bond,"Open space, recreation, parks","Bond for the acquisition of Spur Cross Ranch and other lands for open space, parks and recreational uses",,Maricopa County,0,0,68.785789
AZ,Chandler,Municipal,05-18-2004,2004,5,1,75.16018307,24.83981693,50,25.160183,40600000,40600000,54359072,17350000,17350000,23229800,Bond,"Open space, recreation, parks","Bond to construct, improve, and acquire parks and open spaces for recreational purposes",,Maricopa County,0,0,74.688545
AZ,Coconino County,County,11/05/02,2002,11,1,61.70100195,38.29899805,50,11.701002,33000000,33000000,46212744,19800000,19800000,27727646,Sales tax,"Watershed protection, open space, forests, parks, trails","10-year, 1/8¢ sales tax increase to protect wetlands, forests, open space, park and trail improvements",,,0,0,71.408875
AZ,Flagstaff,Municipal,03/05/96,1996,3,0,35.63861095,64.36138905,50,-14.361389,,0,0,,0,0,Sales tax,"Open space, recreation, parks, trails",Excise tax increase to support bonds to pay for Peaks Scenic Parkway open space and transportation project,,Prop 403.  Needed to pass along with Prop 402.  Funds located in Prop 402,0,0,64.473976
AZ,Flagstaff,Municipal,03/05/96,1996,3,0,37.48287336,62.51712664,50,-12.517127,66157375,0,0,33078688,0,0,Bond,"Open space, recreation, parks, trails",Bonding authorization for Peaks Scenic Parkway project,,"Coconino County, Proposition 402,  Prop 402 (bonds) and 403 (sales tax) needed to pass.  Both failed ",0,0,64.473976
AZ,Flagstaff,Municipal,05-18-2004,2004,5,1,55.94565984,44.05434016,50,5.9456596,5500000,5500000,7363913.5,5500000,5500000,7363913.5,Bond,wildlife habitat,Bond for wildlife,, Coconino County,0,0,74.688545
AZ,Flagstaff,Municipal,05-18-2004,2004,5,1,59.05539461,40.94460539,50,9.0553942,7600000,7600000,10175590,7600000,7600000,10175590,Bond,"Open space, wildlife habitat, trails, greenways","Bond for neighborhood open space, trails, greenways, wildlife, scenic areas, geologic features",, Coconino County,0,0,74.688545
AZ,Flagstaff,Municipal,05-18-2004,2004,5,0,46.96239151,53.03760849,50,-3.0376084,10100000,0,0,10100000,0,0,Bond,"wildlife habitat, greenways","Bond for wildlife, meadows, greenways",, Coconino County,0,0,74.688545
AZ,Flagstaff,Municipal,05-18-2004,2004,5,1,58.4430605,41.5569395,50,8.4430609,2800000,2800000,3748901.5,2800000,2800000,3748901.5,Bond,Parks,Bond for regional park and neighborhood parks,, Coconino County,0,0,74.688545
