state_two_letter_code,jurisdiction_name,jurisdiction_type,string_date_MDY,year_of_vote,month_of_vote,did_vote_pass,share_votes_yes,share_votes_no,vote_share_needed_to_pass,vote_margin,total_funds_at_stake,total_funds_approved,total_funds_appr_r2020,conservation_funds_at_stake,conservation_funds_approved,conservation_funds_appr_r2020,finance_mechanism,purpose,description,other_comment,vote_funding_notes,needed_sixty_percent_to_pass,needed_two_thirds_to_pass,gdp_price_deflator,GeoFIPS,region_number,income,Pop,GeoFIPS_0,precipitation_avg,office,candidate,party,candidatevotes,totalvotes,version,fair_market_r_0rooms,fair_market_r_1rooms,fair_market_r_3rooms,fair_market_r_4rooms
AK,Matanuska-Susitna Borough,County,10/07/03,2003,10,0,49.26337351,50.73662649,50,-0.73662651,5375000,0,0,490000,0,0,Bond,"Parks, recreation","Bond for park and recreation facility acquisition, improvement",,,0,0,72.730873,02170,8,2043333,67162,2170,3.2341666666666664,NA,NA,NA,NA,NA,NA,494,668,1021,1206
AZ,Coconino,County,11/05/02,2002,11,1,61.70100195,38.29899805,50,11.701002,33000000,33000000,46212744,19800000,19800000,27727646,Sales tax,"Watershed protection, open space, forests, parks, trails","10-year, 1/8¢ sales tax increase to protect wetlands, forests, open space, park and trail improvements",,,0,0,71.408875,04005,6,3084623,121308,4005,0.6333333333333333,NA,NA,NA,NA,NA,NA,576,623,1084,1302
AZ,Maricopa,County,11/05/91,1991,11,0,41.85965029,58.14034971,50,-8.1403494,40855000,0,0,8171000,0,0,Bond,"Recreation, parks",Park and Recreation bonds,,,0,0,57.991707,04013,6,42854724,2198219,4013,0.8166666666666667,NA,NA,NA,NA,NA,NA,403,490,720,806
AZ,Pima,County,05-20-1997,1997,5,1,67.72425818,32.27574182,50,17.724258,36300000,36300000,55346936,36300000,36300000,55346936,Bond,"Open space, wildlife habitat, trails","Question Number 4: Sonoran Desert Open Space and Historic Preservation, Bond for Sonoran Desert open space, wildlife habitat, trails, cultural and historic sites",,,0,0,65.586288,04019,6,17381072,798521,4019,0.9725,NA,NA,NA,NA,NA,NA,354,424,785,926
AZ,Pima,County,05-18-2004,2004,5,1,62.09498963,37.90501037,50,12.09499,96450000,96450000,129136272,96450000,96450000,129136272,Bond,"Parks, trails, recreation","Bond for the improvement and aquisition of land for parks, trails, and recreation",,,0,0,74.688545,04019,6,26191181,901342,4019,0.9616666666666667,US PRESIDENT,JOHN KERRY,DEMOCRAT,193128,366907,20220315,443,531,983,1159
AZ,Pima,County,05-18-2004,2004,5,1,62.09498963,37.90501037,50,12.09499,96450000,96450000,129136272,96450000,96450000,129136272,Bond,"Parks, trails, recreation","Bond for the improvement and aquisition of land for parks, trails, and recreation",,,0,0,74.688545,04019,6,26191181,901342,4019,0.9616666666666667,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,171109,366907,20220315,443,531,983,1159
AZ,Pima,County,05-18-2004,2004,5,1,62.09498963,37.90501037,50,12.09499,96450000,96450000,129136272,96450000,96450000,129136272,Bond,"Parks, trails, recreation","Bond for the improvement and aquisition of land for parks, trails, and recreation",,,0,0,74.688545,04019,6,26191181,901342,4019,0.9616666666666667,US PRESIDENT,OTHER,OTHER,2670,366907,20220315,443,531,983,1159
AZ,Pima,County,05-18-2004,2004,5,1,66.16330967,33.83669033,50,16.163309,174300000,174300000,233369120,174300000,174300000,233369120,Bond,"Open space, wildlife habitat, forests","Bond for open space, habitat protection, and forests",,,0,0,74.688545,04019,6,26191181,901342,4019,0.9616666666666667,US PRESIDENT,JOHN KERRY,DEMOCRAT,193128,366907,20220315,443,531,983,1159
AZ,Pima,County,05-18-2004,2004,5,1,66.16330967,33.83669033,50,16.163309,174300000,174300000,233369120,174300000,174300000,233369120,Bond,"Open space, wildlife habitat, forests","Bond for open space, habitat protection, and forests",,,0,0,74.688545,04019,6,26191181,901342,4019,0.9616666666666667,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,171109,366907,20220315,443,531,983,1159
AZ,Pima,County,05-18-2004,2004,5,1,66.16330967,33.83669033,50,16.163309,174300000,174300000,233369120,174300000,174300000,233369120,Bond,"Open space, wildlife habitat, forests","Bond for open space, habitat protection, and forests",,,0,0,74.688545,04019,6,26191181,901342,4019,0.9616666666666667,US PRESIDENT,OTHER,OTHER,2670,366907,20220315,443,531,983,1159
AZ,Pima,County,11/03/15,2015,11,0,39.75266094,60.24733906,50,-10.247339,112050000,0,0,98750000,0,0,Bond,"Open space, watershed protection","Proposition 430, Bond for natural area conservation and historic preservation",,Proposition 430,0,0,92.258728,04019,6,38619993,1001271,4019,1.1099999999999999,NA,NA,NA,NA,NA,NA,489,611,1207,1436
AZ,Pima,County,11/03/15,2015,11,0,39.28314179,60.71685821,50,-10.716858,91375000,0,0,5000000,0,0,Bond,Open space,"Proposition 426, Bond for economic development including Davis Monthan Air Force Base Land Acquisitions",,Proposition 426,0,0,92.258728,04019,6,38619993,1001271,4019,1.1099999999999999,NA,NA,NA,NA,NA,NA,489,611,1207,1436
AZ,Pima,County,11/03/15,2015,11,0,48.42577799,51.57422201,50,-1.574222,16935000,0,0,5000000,0,0,Bond,Watershed protection,"Proposition 431, Bond for flood control and drainage",,Proposition 431,0,0,92.258728,04019,6,38619993,1001271,4019,1.1099999999999999,NA,NA,NA,NA,NA,NA,489,611,1207,1436
CA,San Francisco,County,11/03/20,2020,11,1,70.62784577,29.37215423,66.669998,3.9578476,487500000,487500000,487500000,43000000,43000000,43000000,Bond,"Open space, parks, recreation, trails",2020 Health and Recovery Bond with funding included for parks and open spaces. ,,"Proposition A, 2/3rds req.",0,1,100,06075,8,117292346,870393,6075,0.7866666666666666,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,378156,443553,20220315,2197,2720,4365,4657
CA,San Francisco,County,11/03/20,2020,11,1,70.62784577,29.37215423,66.669998,3.9578476,487500000,487500000,487500000,43000000,43000000,43000000,Bond,"Open space, parks, recreation, trails",2020 Health and Recovery Bond with funding included for parks and open spaces. ,,"Proposition A, 2/3rds req.",0,1,100,06075,8,117292346,870393,6075,0.7866666666666666,US PRESIDENT,OTHER,GREEN,2781,443553,20220315,2197,2720,4365,4657
CA,San Francisco,County,11/03/20,2020,11,1,70.62784577,29.37215423,66.669998,3.9578476,487500000,487500000,487500000,43000000,43000000,43000000,Bond,"Open space, parks, recreation, trails",2020 Health and Recovery Bond with funding included for parks and open spaces. ,,"Proposition A, 2/3rds req.",0,1,100,06075,8,117292346,870393,6075,0.7866666666666666,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,3299,443553,20220315,2197,2720,4365,4657
CA,San Francisco,County,11/03/20,2020,11,1,70.62784577,29.37215423,66.669998,3.9578476,487500000,487500000,487500000,43000000,43000000,43000000,Bond,"Open space, parks, recreation, trails",2020 Health and Recovery Bond with funding included for parks and open spaces. ,,"Proposition A, 2/3rds req.",0,1,100,06075,8,117292346,870393,6075,0.7866666666666666,US PRESIDENT,OTHER,OTHER,2900,443553,20220315,2197,2720,4365,4657
CA,San Francisco,County,11/03/20,2020,11,1,70.62784577,29.37215423,66.669998,3.9578476,487500000,487500000,487500000,43000000,43000000,43000000,Bond,"Open space, parks, recreation, trails",2020 Health and Recovery Bond with funding included for parks and open spaces. ,,"Proposition A, 2/3rds req.",0,1,100,06075,8,117292346,870393,6075,0.7866666666666666,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,56417,443553,20220315,2197,2720,4365,4657
CA,Contra Costa,County,07-27-2004,2004,7,0,50.11745227,49.88254773,66.669998,-16.552546,167320000,0,0,18102000,0,0,Other,"Open space, parks, farmland, watershed protection, trails. recreation, greenways",Creation of special assessment district to fund open space in Contra Costa County.,Benefit Assessment,Votes are weighted according to the amount of property each landowner will have assessed.,0,0,74.688545,06013,8,49180066,992424,6013,1.5808333333333333,US PRESIDENT,JOHN KERRY,DEMOCRAT,257254,412139,20220315,936,1132,1947,2325
CA,Contra Costa,County,07-27-2004,2004,7,0,50.11745227,49.88254773,66.669998,-16.552546,167320000,0,0,18102000,0,0,Other,"Open space, parks, farmland, watershed protection, trails. recreation, greenways",Creation of special assessment district to fund open space in Contra Costa County.,Benefit Assessment,Votes are weighted according to the amount of property each landowner will have assessed.,0,0,74.688545,06013,8,49180066,992424,6013,1.5808333333333333,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,150608,412139,20220315,936,1132,1947,2325
CA,Contra Costa,County,07-27-2004,2004,7,0,50.11745227,49.88254773,66.669998,-16.552546,167320000,0,0,18102000,0,0,Other,"Open space, parks, farmland, watershed protection, trails. recreation, greenways",Creation of special assessment district to fund open space in Contra Costa County.,Benefit Assessment,Votes are weighted according to the amount of property each landowner will have assessed.,0,0,74.688545,06013,8,49180066,992424,6013,1.5808333333333333,US PRESIDENT,OTHER,OTHER,4277,412139,20220315,936,1132,1947,2325
CA,Los Angeles,County,06/04/90,1990,6,0,56.65086548,43.34913452,66.669998,-10.019133,816890000,0,0,20000000,0,0,Bond,"Open space, parks, trails",Proposition B-Bond for recreational and cultural projects,,2/3 vote required,0,1,56.097908,06037,8,190944513,8878157,6037,0.6166666666666667,NA,NA,NA,NA,NA,NA,513,615,916,1035
CA,Los Angeles,County,06/04/91,1991,6,0,57,NA,66.669998,-9.6699982,817000000,0,0,20000000,0,0,Bond,"Parks, trails",Proposition B- Bond for recreational and cultural projects,,57% to 43%  2/3 vote needed,0,1,57.991707,06037,8,193474105,8948125,6037,1.4475,NA,NA,NA,NA,NA,NA,536,642,957,1081
